"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","aesfdrk","happy","health","gndr","yrbrn","age","agea","edufld","edulvla","edulvlb","emplrel","isco08","iscoco","pdjobev","wkhtot","edlves","edlvaes","edlvdes","edlvees","edlvges","edlvhes","impdiff","impenv","impfree","impfun","imprich","impsafe","imptrad","ipadvnt","ipbhprp","ipcrtiv","ipeqopt","ipfrule","ipgdtim","iphlppl","iplylfr","ipmodst","iprspot","ipshabt","ipstrgv","ipsuces","ipudrst","regiones","regioaes"
"ESS1e06_7",1,"6.7","23.11.2023",36,"ES",1.3456,1.1313396,2.0200796,2.2853959,,,,2,8,3,2,1957,,45,,5,,1,,4190,1,888,8,,,,,,1,2,1,3,3,1,2,4,2,2,1,3,1,2,1,1,2,4,1,4,1,42,
"ESS1e06_7",1,"6.7","23.11.2023",37,"ES",1.7045,2.0977578,2.0200796,4.237638,,,,2,10,2,1,1970,,32,,2,,1,,8231,6,56,3,,,,,,3,1,2,1,6,1,4,1,2,2,3,4,1,2,1,5,1,5,3,1,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",38,"ES",0.8522,0.8177252,2.0200796,1.65187,,,,2,7,3,2,1934,,68,,1,,6,,66666,2,666,0,,,,,,3,2,2,5,5,2,2,5,2,2,2,1,3,2,2,2,2,2,2,4,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",41,"ES",0.8522,0.72595537,2.0200796,1.4664876,,,,2,4,2,1,1920,,82,,1,,1,,9211,1,888,0,,,,,,3,2,2,4,3,2,2,4,2,3,2,2,4,2,2,2,2,3,2,3,3,42,
"ESS1e06_7",1,"6.7","23.11.2023",42,"ES",0.4261,0.4088626,2.0200796,0.825935,,,,3,8,2,2,1945,,57,,1,,1,,9132,1,40,1,,,,,,2,2,3,2,5,2,4,5,2,2,2,2,1,2,2,2,2,2,2,3,3,42,
"ESS1e06_7",1,"6.7","23.11.2023",43,"ES",1.2784,1.0890182,2.0200796,2.1999035,,,,2,6,2,1,1924,,78,,1,,2,,7412,1,888,1,,,,,,5,2,2,4,5,2,2,5,2,3,2,2,5,2,2,3,2,3,2,3,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",46,"ES",0.4261,0.4088626,2.0200796,0.825935,,,,2,7,4,2,1915,,87,,1,,6,,66666,2,666,0,,,,,,5,2,2,5,4,2,2,5,2,5,2,2,5,2,2,2,2,2,2,5,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",47,"ES",0.7451,0.7149578,2.0200796,1.4442716,,,,4,10,4,2,1931,,71,,1,,1,,9131,1,60,1,,,,,,5,2,4,2,5,2,2,6,2,1,2,1,3,2,1,6,6,2,2,5,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",48,"ES",0.7451,0.6347211,2.0200796,1.2821871,,,,2,2,4,1,1919,,83,,1,,1,,9211,1,888,0,,,,,,5,3,2,3,5,2,3,3,2,2,5,5,5,3,4,3,2,5,2,3,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",49,"ES",1.1177,1.5121849,2.0200796,3.0547338,,,,1,10,3,1,1964,,38,,1,,1,,9313,1,40,2,,,,,,6,1,1,1,6,1,5,6,1,1,4,2,2,1,5,1,2,2,2,2,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",51,"ES",0.3726,0.35752687,2.0200796,0.72223276,,,,2,4,3,2,1931,,71,,1,,6,,66666,2,666,0,,,,,,5,4,2,2,5,2,2,6,2,2,2,2,4,2,2,2,2,3,2,5,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",53,"ES",1.4902,1.8340151,2.0200796,3.7048566,,,,1,9,2,1,1985,,17,,2,,1,,7231,1,55,3,,,,,,1,3,2,1,2,2,1,1,3,1,3,4,2,1,1,3,4,3,2,2,3,42,
"ESS1e06_7",1,"6.7","23.11.2023",54,"ES",0.7451,0.8914111,2.0200796,1.8007214,,,,3,5,2,2,1980,,22,,2,,1,,5123,6,60,3,,,,,,2,2,2,2,4,2,2,5,2,2,2,2,2,2,2,2,2,2,2,3,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",55,"ES",0.7451,0.7149578,2.0200796,1.4442716,,,,2,5,4,2,1922,,80,,1,,6,,66666,2,666,0,,,,,,5,4,3,5,5,2,2,6,2,2,2,2,5,2,2,2,2,2,2,2,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",59,"ES",0.923,0.88566107,2.0200796,1.7891059,,,,2,6,3,2,1926,,76,,1,,6,,66666,2,666,0,,,,,,5,4,2,6,5,2,2,6,2,3,2,2,6,2,2,2,2,2,4,6,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",60,"ES",1.3845,1.8731501,2.0200796,3.7839124,,,,2,5,2,1,1949,,53,,1,,1,,6111,1,50,1,,,,,,6,3,2,2,4,3,2,5,2,3,2,3,3,2,2,3,2,2,2,4,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",61,"ES",0.4615,0.44283053,2.0200796,0.89455295,,,,2,7,3,2,1919,,83,,1,,6,,66666,2,666,0,,,,,,5,3,3,3,5,2,2,6,2,2,3,2,2,2,2,2,2,4,3,5,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",64,"ES",0.923,0.88566107,2.0200796,1.7891059,,,,2,7,4,2,1926,,76,,1,,6,,66666,2,666,0,,,,,,5,2,2,5,5,2,2,3,2,2,3,2,2,2,2,2,2,2,2,5,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",66,"ES",0.923,0.78626704,2.0200796,1.588322,,,,2,5,4,1,1940,,62,,1,,1,,6112,1,888,1,,,,,,5,2,2,3,5,2,3,5,2,2,2,2,5,2,2,2,2,2,3,5,2,42,
"ESS1e06_7",1,"6.7","23.11.2023",68,"ES",1.3651,1.0188773,2.0200796,2.0582132,,,,2,6,2,2,1976,,26,,3,,6,,66666,2,666,5,,,,,,3,3,1,4,5,3,3,4,4,3,1,5,3,3,3,4,2,3,3,3,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",69,"ES",0.6825,0.40827703,2.0200796,0.8247521,,,,2,6,2,1,1974,,28,,4,,1,,8263,1,60,6,,,,,,2,1,2,3,4,3,5,2,5,2,1,5,3,2,2,3,3,3,5,4,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",71,"ES",1.3651,0.8210393,2.0200796,1.6585648,,,,2,7,2,1,1954,,48,,3,,1,,3415,6,40,5,,,,,,4,4,2,4,5,1,2,4,2,1,2,3,4,3,3,3,2,1,1,3,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",72,"ES",1.0238,1.297414,2.0200796,2.6208794,,,,2,6,2,1,1957,,46,,5,,1,,3412,6,40,11,,,,,,4,3,1,5,4,2,2,4,2,4,1,2,5,2,2,2,2,3,3,4,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",73,"ES",0.3413,0.36765334,2.0200796,0.742689,,,,2,7,4,2,1928,,74,,1,,6,,66666,2,666,0,,,,,,3,2,4,5,5,2,3,5,1,5,2,2,5,1,2,2,2,4,1,4,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",74,"ES",0.6825,0.4104896,2.0200796,0.82922167,,,,2,7,2,1,1962,,40,,3,,1,,3415,6,50,5,,,,,,2,1,1,2,1,2,2,1,2,1,1,5,2,2,1,2,2,2,1,1,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",75,"ES",0.6825,0.4104896,2.0200796,0.82922167,,,,2,6,1,1,1964,,39,,3,,1,,7244,6,37,5,,,,,,1,3,1,2,3,3,3,1,4,2,2,4,2,3,2,3,3,2,4,4,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",76,"ES",1.0238,0.53599244,2.0200796,1.0827475,,,,2,6,1,2,1966,,37,,3,,6,,66666,2,666,5,,,,,,2,2,1,3,4,2,4,3,3,2,1,4,2,2,1,3,2,3,4,5,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",77,"ES",0.8614,1.1569238,2.0200796,2.337078,,,,2,7,2,2,1973,,29,,1,,1,,9131,1,45,2,,,,,,5,4,2,4,4,2,2,5,2,3,2,4,4,3,2,2,3,5,2,5,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",80,"ES",0.8614,0.92791265,2.0200796,1.8744575,,,,2,6,3,2,1938,,64,,1,,6,,66666,2,666,2,,,,,,4,4,3,4,4,2,1,5,2,3,2,1,5,3,3,3,2,3,1,4,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",83,"ES",0.8614,1.1901443,2.0200796,2.4041862,,,,3,8,3,1,1976,,26,,2,,1,,7137,6,40,3,,,,,,2,2,2,2,3,2,3,2,3,3,2,4,2,3,2,4,3,2,2,3,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",84,"ES",1.2921,0.7930086,2.0200796,1.6019405,,,,8,77,3,1,1925,,77,,3,,1,,3431,1,44,5,,,,,,5,1,1,4,5,1,1,5,1,1,1,2,5,1,1,1,6,3,1,3,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",89,"ES",1.997,2.6821184,2.0200796,5.4180927,,,,3,8,2,2,1980,,22,,2,,6,,66666,2,666,3,,,,,,3,2,2,1,1,2,5,2,5,4,3,4,2,4,3,5,3,2,2,3,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",90,"ES",1.6642,2.2993245,2.0200796,4.644819,,,,2,8,3,1,1979,,23,,2,,1,,9313,1,40,3,,,,,,4,2,1,1,1,1,3,3,4,3,4,3,1,2,3,4,2,3,1,2,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",91,"ES",0.6657,0.40038523,2.0200796,0.80881006,,,,2,6,2,1,1958,,44,,3,,2,,1315,6,888,5,,,,,,3,3,1,4,2,3,4,4,4,2,2,4,4,3,3,4,3,2,2,2,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",92,"ES",0.6657,0.34851548,2.0200796,0.704029,,,,2,6,3,2,1967,,35,,3,,1,,5220,6,38,5,,,,,,2,3,1,3,6,2,5,4,2,1,1,3,2,4,2,3,4,4,3,4,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",93,"ES",0.6657,0.66431534,2.0200796,1.3419698,,,,4,2,3,2,1949,,53,,1,,1,,9132,1,30,2,,,,,,6,4,1,6,3,1,5,6,1,5,2,1,5,4,6,3,1,5,1,5,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",94,"ES",0.6657,0.49686223,2.0200796,1.0037012,,,,2,8,1,2,1974,,28,,3,,1,,9131,6,20,4,,,,,,2,1,1,1,1,6,5,1,6,1,1,6,1,1,1,4,4,1,1,6,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",95,"ES",0.9985,1.0755988,2.0200796,2.1727953,,,,3,10,3,2,1942,,60,,1,,6,,66666,2,666,1,,,,,,6,1,2,1,6,1,1,6,1,3,1,5,6,1,2,1,3,6,1,6,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",96,"ES",0.6657,0.8958103,2.0200796,1.8096081,,,,3,8,3,2,1975,,27,,5,,1,,5123,6,60,8,,,,,,1,1,1,1,4,1,4,1,4,1,1,6,1,1,1,2,3,5,1,4,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",97,"ES",0.3328,0.33210778,2.0200796,0.67088413,,,,3,7,2,2,1952,,50,,1,,2,,7436,6,30,1,,,,,,4,1,1,4,6,2,1,5,3,3,1,2,1,1,1,1,1,4,1,4,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",98,"ES",0.6657,0.63662446,2.0200796,1.2860321,,,,2,7,4,1,1922,,80,,1,,1,,6111,1,888,0,,,,,,5,2,1,1,5,2,1,5,2,4,2,5,5,1,2,3,2,2,1,5,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",100,"ES",0.6657,0.71710175,2.0200796,1.4486027,,,,3,6,3,2,1936,,66,,1,,6,,66666,2,666,1,,,,,,5,4,3,5,5,1,1,5,2,5,2,2,4,2,3,2,3,5,1,5,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",101,"ES",0.7787,0.74468905,2.0200796,1.5043311,,,,2,8,3,1,1926,,76,,1,,1,,7122,1,50,0,,,,,,5,1,1,4,3,2,1,5,1,3,3,2,5,1,1,3,1,4,1,5,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",103,"ES",0.7787,0.46834907,2.0200796,0.9461024,,,,3,8,4,1,1956,,46,,3,,1,,8340,1,50,4,,,,,,6,2,2,1,2,1,1,3,1,4,2,6,3,2,1,3,1,5,1,5,4,52,
"ESS1e06_7",1,"6.7","23.11.2023",104,"ES",1.168,1.1655706,2.0200796,2.3545454,,,,3,8,1,2,1951,,51,,1,,1,,9320,1,40,2,,,,,,2,2,2,3,3,3,4,2,2,2,3,2,2,1,2,2,4,2,1,1,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",105,"ES",1.168,1.1169857,2.0200796,2.2564,,,,3,7,3,1,1924,,78,,1,,1,,8324,1,50,1,,,,,,4,1,2,1,5,1,1,5,1,3,3,5,3,2,1,2,1,5,1,5,4,52,
"ESS1e06_7",1,"6.7","23.11.2023",107,"ES",0.7787,1.0458516,2.0200796,2.1127036,,,,3,10,1,2,1975,,27,,1,,6,,66666,2,666,0,,,,,,1,3,1,1,1,1,1,6,4,1,1,5,1,1,1,4,3,1,1,1,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",109,"ES",1.168,1.1655706,2.0200796,2.3545454,,,,2,6,2,2,1957,,46,,1,,1,,5220,1,40,2,,,,,,2,2,1,4,5,2,2,4,3,2,1,4,3,1,2,2,2,3,3,4,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",110,"ES",0.3893,0.3722967,2.0200796,0.75206894,,,,3,4,3,1,1933,,70,,1,,1,,7221,1,50,1,,,,,,4,4,2,5,2,1,1,4,1,4,3,1,3,3,2,4,1,2,1,2,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",111,"ES",0.7787,0.74468905,2.0200796,1.5043311,,,,4,10,2,1,1940,,62,,1,,3,,1314,1,40,2,,,,,,1,2,1,1,5,1,1,2,3,1,1,4,1,1,1,1,3,1,1,1,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",115,"ES",0.8478,0.91326255,2.0200796,1.844863,,,,2,6,3,2,1930,,72,,1,,6,,66666,2,666,1,,,,,,5,3,3,6,4,1,1,6,2,4,2,2,5,2,3,2,3,4,1,5,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",116,"ES",0.8478,0.8002152,2.0200796,1.6164984,,,,2,6,3,2,1966,,36,,5,,1,,4223,6,40,8,,,,,,2,2,1,3,3,2,3,2,4,1,1,4,3,2,2,4,1,2,2,1,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",117,"ES",0.8478,0.5099093,2.0200796,1.0300573,,,,2,6,3,1,1951,,51,,3,,2,,5220,1,40,5,,,,,,2,4,1,4,5,2,3,2,2,1,1,5,4,3,3,3,3,2,3,3,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",119,"ES",0.8478,0.91326255,2.0200796,1.844863,,,,2,5,3,2,1934,,68,,1,,1,,9211,1,50,1,,,,,,4,3,2,4,3,1,1,4,1,4,3,1,4,3,3,3,2,4,1,4,4,52,
"ESS1e06_7",1,"6.7","23.11.2023",121,"ES",0.8478,1.0743773,2.0200796,2.1703277,,,,2,6,2,1,1967,,35,,5,,1,,3431,6,45,11,,,,,,3,3,2,4,4,2,3,4,3,2,1,3,3,2,2,2,3,3,3,4,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",122,"ES",0.8478,1.2876843,2.0200796,2.601225,,,,2,6,2,1,1966,,36,,2,,2,,7411,6,45,3,,,,,,4,3,2,4,2,2,2,5,2,2,2,3,3,3,3,4,2,2,1,2,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",126,"ES",0.7417,0.5535868,2.0200796,1.1182894,,,,3,10,2,2,1971,,31,,3,,6,,66666,2,666,5,,,,,,2,2,1,4,5,1,2,3,4,2,1,5,4,1,3,1,4,3,1,4,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",127,"ES",0.7417,0.44609544,2.0200796,0.9011483,,,,2,8,3,1,1965,,37,,3,,1,,7123,6,45,4,,,,,,3,2,2,2,5,2,2,4,3,3,2,4,3,2,2,3,2,3,1,2,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",128,"ES",1.1125,1.1984012,2.0200796,2.4208658,,,,2,10,2,2,1928,,74,,1,,6,,66666,2,666,1,,,,,,1,3,3,2,4,1,2,3,4,3,2,5,3,1,3,1,4,3,2,5,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",129,"ES",1.8542,1.1152085,2.0200796,2.25281,,,,2,8,1,1,1967,,35,,3,,1,,8263,6,40,5,,,,,,3,1,1,1,3,1,1,2,1,2,1,5,1,1,2,1,3,3,1,1,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",130,"ES",1.1125,1.0639098,2.0200796,2.1491823,,,,3,8,4,1,1946,,57,,1,,1,,7231,6,40,1,,,,,,3,2,2,4,5,2,3,5,3,4,2,3,4,2,2,2,4,4,1,5,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",131,"ES",1.1125,1.110186,2.0200796,2.242664,,,,3,10,2,2,1962,,40,,1,,1,,7442,6,40,2,,,,,,2,1,2,3,4,1,1,5,3,2,1,3,2,1,1,2,1,2,1,3,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",133,"ES",2.2927,2.2879312,2.0200796,4.6218033,,,,2,6,3,2,1966,,36,,2,,1,,7442,1,888,3,,,,,,3,1,1,3,5,2,5,3,3,1,1,4,2,2,2,3,4,3,1,3,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",134,"ES",1.9106,1.1429363,2.0200796,2.3088224,,,,2,7,2,1,1981,,21,,3,,6,,66666,2,666,5,,,,,,4,3,1,1,2,1,1,4,2,1,3,1,1,1,2,2,2,2,1,2,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",135,"ES",0.7642,0.8232074,2.0200796,1.6629444,,,,2,8,3,2,1942,,61,,1,,1,,6112,6,888,2,,,,,,5,2,3,4,5,4,3,5,7,2,2,6,4,2,3,2,6,5,3,5,4,52,
"ESS1e06_7",1,"6.7","23.11.2023",136,"ES",0.7642,0.8232074,2.0200796,1.6629444,,,,2,5,4,2,1936,,67,,1,,2,,1314,1,888,1,,,,,,5,4,3,6,5,1,1,6,2,5,2,2,5,2,3,2,4,3,2,6,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",138,"ES",0.3821,0.22981402,2.0200796,0.4642426,,,,2,5,3,1,1964,,38,,3,,1,,3415,6,888,5,,,,,,3,2,1,4,4,2,5,3,3,3,2,4,3,3,2,3,3,3,4,4,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",139,"ES",1.5285,0.91436106,2.0200796,1.8470821,,,,2,7,1,1,1984,,18,,3,,6,,66666,2,666,5,,,,,,2,4,2,2,3,1,4,2,4,5,3,3,2,3,2,4,2,2,1,2,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",142,"ES",1.5285,1.6465225,2.0200796,3.3261065,,,,2,88,4,2,1943,,59,,1,,1,,7412,1,40,2,,,,,,5,3,3,5,5,1,1,6,2,5,2,3,5,2,2,2,3,3,1,6,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",147,"ES",0.9957,0.5956358,2.0200796,1.2032317,,,,2,5,2,1,1980,,22,,4,,6,,66666,2,666,6,,,,,,5,2,1,4,5,1,6,5,1,1,1,6,2,2,3,3,3,2,1,2,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",150,"ES",1.3275,2.4777682,2.0200796,5.005289,,,,2,88,1,1,1978,,24,,5,,6,,66666,2,666,8,,,,,,2,2,2,2,3,2,4,2,3,2,1,3,2,2,2,3,3,3,4,3,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",151,"ES",0.6638,0.6624193,2.0200796,1.3381398,,,,3,9,2,2,1966,,36,,1,,6,,66666,2,666,2,,,,,,4,2,4,4,3,2,1,5,3,3,2,5,2,2,2,2,2,3,1,4,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",153,"ES",0.7799,0.4083029,2.0200796,0.82480437,,,,2,5,2,2,1960,,42,,3,,1,,3415,6,45,5,,,,,,3,2,1,3,4,2,4,3,4,1,1,4,2,3,1,3,2,3,3,3,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",154,"ES",0.7799,0.4083029,2.0200796,0.82480437,,,,2,7,2,2,1965,,37,,3,,6,,66666,2,666,5,,,,,,2,3,2,3,4,3,3,4,4,2,2,5,4,2,3,3,3,4,4,5,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",156,"ES",0.7799,0.4083029,2.0200796,0.82480437,,,,3,6,3,2,1960,,42,,3,,1,,7442,1,50,5,,,,,,3,2,1,3,2,2,2,3,4,2,2,4,2,3,2,3,2,2,2,2,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",159,"ES",0.7799,0.84011966,2.0200796,1.6971086,,,,8,10,4,2,1928,,74,,1,,6,,66666,2,666,0,,,,,,5,1,6,6,5,1,1,6,1,5,1,5,6,1,1,1,3,5,1,6,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",165,"ES",0.7092,0.67822456,2.0200796,1.3700676,,,,2,10,3,1,1920,,82,,1,,2,,5123,1,60,0,,,,,,6,2,2,2,5,3,2,6,1,5,4,2,6,2,1,4,1,4,1,3,4,52,
"ESS1e06_7",1,"6.7","23.11.2023",167,"ES",0.3546,0.33911228,2.0200796,0.6850338,,,,3,8,4,1,1941,,62,,2,,2,,1221,6,60,3,,,,,,5,2,1,2,3,2,1,5,2,2,3,4,4,4,3,4,1,4,2,3,5,52,
"ESS1e06_7",1,"6.7","23.11.2023",168,"ES",1.0639,1.6159087,2.0200796,3.2642643,,,,2,9,2,1,1966,,37,,2,,1,,9311,6,50,3,,,,,,5,2,2,4,3,2,2,5,1,3,2,1,3,2,1,1,2,5,3,5,4,52,
"ESS1e06_7",1,"6.7","23.11.2023",169,"ES",0.7092,0.67822456,2.0200796,1.3700676,,,,2,10,3,1,1913,,89,,1,,1,,6111,1,60,0,,,,,,6,1,1,4,3,1,1,6,1,3,2,6,6,1,1,1,3,6,1,6,6,52,
"ESS1e06_7",1,"6.7","23.11.2023",171,"ES",0.7092,0.7639606,2.0200796,1.5432613,,,,2,10,2,2,1928,,75,,1,,6,,66666,2,666,2,,,,,,6,3,2,5,5,1,1,6,1,2,4,1,4,4,4,1,5,5,2,5,4,52,
"ESS1e06_7",1,"6.7","23.11.2023",173,"ES",1.2127,0.6348877,2.0200796,1.2825236,,,,3,7,2,2,1960,,43,,3,,6,,66666,2,666,5,,,,,,4,3,3,3,3,1,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,52,
"ESS1e06_7",1,"6.7","23.11.2023",177,"ES",1.2127,1.6755142,2.0200796,3.3846722,,,,2,7,1,1,1975,,28,,2,,1,,6112,6,46,3,,,,,,2,4,1,1,1,2,4,1,3,3,3,4,1,3,3,4,2,1,3,1,4,52,
"ESS1e06_7",1,"6.7","23.11.2023",178,"ES",0.4042,0.301685,2.0200796,0.60942775,,,,1,7,1,2,1970,,33,,3,,1,,3431,6,40,5,,,,,,2,2,2,2,3,2,3,2,3,2,2,4,2,3,2,4,2,2,3,2,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",179,"ES",0.8085,1.0879714,2.0200796,2.197789,,,,2,6,2,2,1972,,31,,5,,1,,3431,6,40,11,,,,,,3,2,2,3,5,3,3,2,4,2,1,5,3,3,2,3,3,3,3,3,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",184,"ES",1.5635,0.9352983,2.0200796,1.8893771,,,,2,7,2,1,1982,,20,,3,,2,,7231,6,40,4,,,,,,2,2,1,3,4,3,3,3,4,2,1,3,3,2,2,3,3,3,4,4,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",188,"ES",0.7817,1.0519077,2.0200796,2.1249373,,,,2,7,3,2,1968,,34,,5,,1,,3431,6,40,8,,,,,,2,2,2,4,3,3,3,3,3,2,1,4,3,2,2,3,2,3,3,3,2,52,
"ESS1e06_7",1,"6.7","23.11.2023",189,"ES",1.1726,0.7052602,2.0200796,1.4246818,,,,1,10,1,1,1960,,42,,3,,1,,100,6,40,4,,,,,,1,1,1,1,4,1,1,1,1,1,1,6,3,1,1,4,1,1,1,3,1,52,
"ESS1e06_7",1,"6.7","23.11.2023",192,"ES",0.3909,0.42108318,2.0200796,0.8506216,,,,3,6,3,2,1938,,64,,1,,6,,66666,2,666,1,,,,,,5,4,3,6,4,1,1,6,2,4,3,2,6,3,3,2,3,5,1,5,3,52,
